label,text
0,https://www.tmz.com/2026/01/19/president-trump-cheered-miami-fl-vs-indiana-championship-game/
0,"It is my Great Honor to endorse America First Patriot Tracey Powell; a fantastic Candidate for Indiana's 21st State Senate District (which I won by 24 points!). Tracey is running against a pathetic RINO incumbent named Jim Buck; who; for whatever reason; voted against Redistricting in Indiana; which puts the United States Congress in jeopardy. Buck and his RINO friends made Indiana; a State I love and have been very good to; the only State in the Country that essentially said they don’t care if Democrats steal Republican House seats to take over the United States Congress. We could have easily picked up two seats in Indiana; helping Democrat seat theft in Blue States; but instead; Buck; an America Last politician; would rather give away our Majority in the House of Representatives; thereby putting our Country in a very dangerous position that could cost us some of the magnificent gains that we have made over the last year; since I assumed the Office of President. Tracey Powell; on the other hand; is a successful Businessman; Chiropractor; Farmer; and Highly Respected Tipton County Commissioner; who has dedicated his life to serving his Community. As your next State Senator; Tracey will fight tirelessly to Protect ""Hoosier"" Values; Grow the Economy; Cut Taxes and Regulations; Promote MADE IN THE U.S.A.; Champion our Amazing Farmers and Agriculture; Unleash American Energy DOMINANCE; Keep our Border SECURE; Ensure LAW AND ORDER; Support our Military; Veterans; and Law Enforcement; Advance Election Integrity; Defend our always under siege Second Amendment.  Tracey Powell has my Complete and Total Endorsement to be the next State Senator from Indiana's 21st Senate District. Unlike incumbent Jim Buck; a “RINO” who failed the wonderful people of Indiana so badly; TRACEY POWELL IS A WINNER WHO WILL NOT LET YOU DOWN!"
0,I just had a very good telephone conversation with Mayor Jacob Frey; of Minneapolis. Lots of progress is being made! Tom Homan will be meeting with him tomorrow in order to continue the discussion. Thank you for your attention to this matter! PRESIDENT DONALD J. TRUMP
0,I am pleased to report that Venezuela is releasing its Political Prisoners at a rapid rate; which rate will be increasing over the coming short period of time. I’d like to thank the leadership of Venezuela for agreeing to this powerful humanitarian gesture! PRESIDENT DONALD J. TRUMP
0,Our Trade Deals are very important to America. In each of these Deals; we have acted swiftly to reduce our TARIFFS in line with the Transaction agreed to. We; of course; expect our Trading Partners to do the same.  South Korea's Legislature is not living up to its Deal with the United States. President Lee and I reached a Great Deal for both Countries on July 30; 2025; and we reaffirmed these terms while I was in Korea on October 29; 2025. Why hasn't the Korean Legislature approved it? Because the Korean Legislature hasn't enacted our Historic Trade Agreement; which is their prerogative; I am hereby increasing South Korean TARIFFS on Autos; Lumber; Pharma; and all other Reciprocal TARIFFS; from 15% to 25%. Thank you for your attention to this matter! DONALD J. TRUMPPRESIDENT OF THE UNITED STATES OF AMERICA
0,"It is my Great Honor to endorse State Representative Michelle Davis; a REAL Republican running for Indiana's 41st State Senate District (which I won by 33 points!); against RINO incumbent Greg Walker! Michelle will be a fantastic replacement for Walker who; for whatever reason; voted against Redistricting in Indiana; which puts the United States Congress in jeopardy. Walker and his RINO friends made Indiana; a State I love and have been very good to; the only State in the Country that essentially said they don’t care about what happens in the United States Congress. We could have easily picked up two seats in Indiana; so Walker; an America Last politician; put our Majority in the House of Representatives at risk; thereby putting our Country in a very dangerous position in losing some of the magnificent gains that we have made over the last year; since I assumed the Office of President. State Representative Michelle Davis; on the other hand; strongly voted WITH Republicans to pass Redistricting in the State House; unlike “RINO” Greg Walker; who voted with the Democrats in the State Senate to stop it. As your next State Senator; Michelle will fight tirelessly to Protect ""Hoosier"" Values; Advocate for the Working Men and Women of Indiana; Grow our Economy; Cut Taxes and Regulations; Promote American Manufacturing; Advance MADE IN THE U.S.A.; Unleash American Energy DOMINANCE; Keep our Border SECURE; Support our Military; Veterans; and Law Enforcement; Advance Election Integrity; and Defend our always under siege Second Amendment.  Michelle Davis has my Complete and Total Endorsement to be the next State Senator from Indiana's 41st Senate District. Unlike incumbent Greg Walker; a “RINO” LOSER who has failed the fantastic people of Indiana so badly; MICHELLE DAVIS IS A WINNER WHO WILL NOT LET YOU DOWN!"
0,The incredible people of Kentucky’s 4th Congressional District; who want desperately to get rid of Thomas Massie; the Worst “Republican” Congressman we have had in many years; gave us a mandate to; MAKE AMERICA GREAT AGAIN! The person that will help us do the job; and do it right; is Navy SEAL; Army Ranger; Fifth Generation Kentucky Farmer; and American Hero; Captain Ed Gallrein; a true Patriot. Today; Ed; who also happens to be central casting; officially filed to run for Congress. I have heard that there are other Candidates exploring a run for this seat; but I am asking all MAGA Warriors to rally behind Captain Ed Gallrein; the Candidate who is; far and away; best positioned to DEFEAT Third Rate Congressman Thomas Massie; a Weak and Pathetic RINO from the beautiful Commonwealth of Kentucky; a place I love; and won BIG; ALL THREE TIMES. A Brave Combat Veteran; Ed knows the Wisdom and Courage required to Defend our Country; Support our Military/Veterans; and Ensure PEACE THROUGH STRENGTH. He is a big fan of our recent attack on Nicolas Maduro; the Dictator of Venezuela. Additionally; as a very successful Businessman; Ed knows how to Create GREAT Jobs; Cut Taxes and Regulations; Promote MADE IN THE U.S.A.; Support our Amazing Farmers and American Agriculture; Unleash American Energy Dominance; and Champion our Nation’s Golden Age. In Congress; he will fight tirelessly to Keep our now very Secure Border; SECURE; Stop Migrant Crime; and Defend our always under siege Second Amendment. Captain Ed Gallrein has my Complete and Total Endorsement against “Congressman” Thomas Massie — He only votes AGAINST the Republican Party; making life very easy for the Radical Left. Unlike “lightweight” Congressman Massie; a true hater of Israel; and a totally ineffective LOSER who has failed us so badly; CAPTAIN ED GALLREIN IS A WINNER WHO WILL NOT LET KENTUCKY DOWN!
0,People don’t realize that The Trump Kennedy Center suffered massive deficits for many years and; like everything else; I merely came in to save it and; if possible; make it far better than ever before! PRESIDENT DONALD J. TRUMP
0,New York City in a slightly different time. Never forget!
0,MELANIA; the Movie; is a MUST WATCH. Get your tickets today — Selling out; FAST!Photo: Regine Mahauxhttps://www.amazon.com/salp/melaniamovie?hhf
0,Governor Tim Walz called me with the request to work together with respect to Minnesota. It was a very good call; and we; actually; seemed to be on a similar wavelength. I told Governor Walz that I would have Tom Homan call him; and that what we are looking for are any and all Criminals that they have in their possession. The Governor; very respectfully; understood that; and I will be speaking to him in the near future. He was happy that Tom Homan was going to Minnesota; and so am I! We have had such tremendous SUCCESS in Washington; D.C.; Memphis; Tennessee; and New Orleans; Louisiana; and virtually every other place that we have “touched” and; even in Minnesota; Crime is way down; but both Governor Walz and I want to make it better! PRESIDENT DONALD J. TRUMP
0,Just recovered the last Hostage body in GAZA. Thus; got back ALL 20 of the living Hostages; and ALL of the Dead! AMAZING JOB! Most thought of it as an impossible thing to do. Congratulations to my great team of Champions!!! President DJT
0,RT @realDonaldTrumpI am sending Tom Homan to Minnesota tonight. He has not been involved in that area; but knows and likes many of the people there. Tom is tough but fair; and will report directly to me. Separately; a major investigation is going on with respect to the massive 20 Billion Dollar; Plus; Welfare Fraud that has taken place in Minnesota; and is at least partially responsible for the violent organized protests going on in the streets. Additionally; the DOJ and Congress are looking at “Congresswoman” Illhan Omar; who left Somalia with NOTHING; and is now reportedly worth more than 44 Million Dollars. Time will tell all. Thank you for your attention to this matter! President DJT
0,Fake and Fraudulent Polling should be; virtually; a criminal offense. As an example; all of the Anti Trump Media that covered me during the 2020 Election showed Polls that were knowingly wrong. They knew what they were doing; trying to influence the Election; but I won in a Landslide; including winning the Popular Vote; all 7 of the 7 Swing States; the Electoral College was a route; and 2;750 Counties to 525. You can’t do much better than that; and yet if people examined The Failing New York Times; ABC Fake News; NBC Fake News; CBS Fake News; Low Ratings CNN; or the now defunct MSDNC; Polls were all fraudulent; and bore nothing even close to the final results. Something has to be done about Fraudulent Polling. Even the Polls of FoxNews and The Wall Street Journal have been; over the years; terrible! There are great Pollsters that called the Election right; but the Media does not want to use them in any way; shape; or form. Isn’t it sad what has happened to American Journalism; but I am going to do everything possible to keep this Polling SCAM from moving forward!
0,I am sending Tom Homan to Minnesota tonight. He has not been involved in that area; but knows and likes many of the people there. Tom is tough but fair; and will report directly to me. Separately; a major investigation is going on with respect to the massive 20 Billion Dollar; Plus; Welfare Fraud that has taken place in Minnesota; and is at least partially responsible for the violent organized protests going on in the streets. Additionally; the DOJ and Congress are looking at “Congresswoman” Illhan Omar; who left Somalia with NOTHING; and is now reportedly worth more than 44 Million Dollars. Time will tell all. Thank you for your attention to this matter! President DJT
0,Appeals court finds evidence to charge Don Lemon over church protest; but won’t force arrest warrant: https://justthenews.com/government/courts-law/appeals-court-finds-evidence-charge-don-lemon-over-church-protest-wont-force/
0,I can’t watch the new NFL Kickoff. Like many others; I just turn my head. Who has the right to make such a change? So disparaging to the game! The original was Big Time; Strong; Glamorous; and Exciting. The ridiculous new Kickoff Rule takes away the prestige and power of the game. I hope College Football doesn’t follow suit!
0,RT: https://truthsocial.com/users/realDonaldTrump/statuses/115958123338296139During the four years of Crooked Joe Biden and Democrat failed leadership; Tens of Millions of Illegal Alien Criminals poured into our Country; including Hundreds of Thousands of Convicted Murderers; Rapists; Kidnappers; Drug Dealers; and Terrorists. I won the Election in a Historic Landslide; and Republicans won Majorities in both the House and Senate; in large part; because we pledged to SEAL THE BORDER; which we have done; and launch the largest Mass Deportation of Illegal Alien Criminals in American History. This Deportation effort is underway; and in Republican run Cities and States; these operations are going peacefully and smoothly; because Local Law Enforcement Officers are allowed to work with their Federal counterparts. For example; in the five Republican run States of Texas; Georgia; Florida; Tennessee; and Louisiana; ICE has arrested 150;245 Criminal Illegal Aliens over the past year — with ZERO protests; riots; or chaos. Why? Because Local Police and ICE are cooperating and working together. Meanwhile; Democrat run Sanctuary Cities and States are REFUSING to cooperate with ICE; and they are actually encouraging Leftwing Agitators to unlawfully obstruct their operations to arrest the Worst of the Worst People! By doing this; Democrats are putting Illegal Alien Criminals over Taxpaying; Law-Abiding Citizens; and they have created dangerous circumstances for EVERYONE involved. Tragically; two American Citizens have lost their lives as a result of this Democrat ensued chaos.
0,That is why I am hereby calling on Governor Walz; Mayor Frey; and EVERY Democrat Governor and Mayor in the United States of America to formally cooperate with the Trump Administration to enforce our Nation’s Laws; rather than resist and stoke the flames of Division; Chaos; and Violence: 1. Governor Walz and Mayor Frey should turn over all Criminal Illegal Aliens that are currently incarcerated in their State Prisons and Jails to Federal Authorities; along with all Illegal Criminals with an active warrant or known Criminal History; for Immediate Deportation. 2. State and Local Law Enforcement must agree to turn over all Illegal Aliens arrested by Local Police. 3. Local Police must assist Federal Law Enforcement in apprehending and detaining Illegal Aliens who are wanted for Crimes. 4. Democrat Politicians must partner with the Federal Government to protect American Citizens in the rapid removal of all Criminal Illegal Aliens in our Country. Some Democrats; in places like Memphis; Tennessee; or Washington; D.C.; have done so; resulting in safer streets for ALL. In addition; I am hereby calling on the United States Congress to immediately pass Legislation to END Sanctuary Cities; which is the root cause of all of these problems. American Cities should be Safe Sanctuaries for Law Abiding American Citizens ONLY; not Illegal Alien Criminals who broke our Nation’s Laws. All of these requests are rooted in COMMON SENSE; and will provide the best possible circumstances to; MAKE AMERICA GREAT AGAIN! The Trump Administration is standing by; and waiting for ANY Democrat to do the right thing; and work with us on these important matters of MAKING AMERICA SAFE like it is in all sections of our Country where we are; together with Local Leadership; participating and involved. DONALD J. TRUMPPRESIDENT OF THE UNITED STATES OF AMERICA
0,Minnesota is a Criminal COVER UP of the massive Financial Fraud that has gone on!
0,I’m building; on top of everything else that I am doing; one of the greatest and most beautiful Ballrooms anywhere in the World; with more than 300 Million Dollars of Great American Patriots’ money; and working closely with; right from the beginning; the United States Military and Secret Service. This is a GIFT (ZERO taxpayer funding!) to the United States of America; of 300 to 400 Million Dollars (depending on the scope and quality of interior finishes!); for a desperately needed space; sought for over 150 years by previous Presidents and Administrations; so that the White House would no longer be forced to use a cheap and unsafe “tent;” for big and important STATE EVENTS; Dinners; Meetings; Conferences; and already scheduled future INAUGURATIONS (for safety; security; and capacity purposes!); on a very wet; and subject to weather; White House lawn. Making such a large gift to the U.S.A. was thought to be; by almost everyone; “A WONDERFUL THING TO DO” — But no; as usual; I got sued; this time by the Radical Left National (No!)Trust for Historic Preservation; a group that couldn’t care less about our Country! All of the Structural Steel; Windows; Doors; A.C./Heating Equipment; Marble; Stone; Precast Concrete; Bulletproof Windows and Glass; Anti-Drone Roofing; and much more; has been ordered (or is ready to be); and there is no practical or reasonable way to go back. IT IS TOO LATE! Why didn’t these obstructionists and troublemakers bring their baseless lawsuit much earlier? Congress never tried; or wanted; to stop the Ballroom Project! Everyone knew what was taking place at the White House — A great; big; beautiful gift to the United States of America! For those that are interested; the tiny East Wing was so “bastardized” and changed; built and rebuilt over the years; that it bore no resemblance or relationship to the original building. The so-called “preservationists;” who get their money from the most unusual of places; should not be allowed to stop this desperately needed addition to our GREAT White House; a place that a President has never needed permission to change or enhance; because of the special grounds on which it sits; no matter how big (and important!); that enhancement may be. Additionally; in this instance; it is being done with the design; consent; and approval of the highest levels of the United  States Military and Secret Service. The mere bringing of this ridiculous lawsuit has already; unfortunately; exposed this heretofore Top Secret fact. Stoppage of construction; at this late date; when so much has already been ordered and done; would be devastating to the White House; our Country; and all concerned. Thank you for your attention to this matter! President DONALD J. TRUMP
